task,category,scenario,input_tokens,output_tokens,total_tokens,delta_pct
A1,A,baseline,458,107,565,0.0
A1,A,serena,55,107,162,-71.3
A1,A,graphify,206,107,313,-44.6
A1,A,codegraph,240,107,347,-38.6
A1,A,rtk,473,107,580,2.7
A1,A,caveman,458,102,560,-0.9
A1,A,ponytail,458,107,565,0.0
A1,A,stacked,55,102,157,-72.2
A2,A,baseline,525,82,607,0.0
A2,A,serena,293,82,375,-38.2
A2,A,graphify,141,82,223,-63.3
A2,A,codegraph,49,82,131,-78.4
A2,A,rtk,518,82,600,-1.2
A2,A,caveman,525,71,596,-1.8
A2,A,ponytail,525,82,607,0.0
A2,A,stacked,293,71,364,-40.0
A3,A,baseline,1633,129,1762,0.0
A3,A,serena,550,129,679,-61.5
A3,A,graphify,65,129,194,-89.0
A3,A,codegraph,432,129,561,-68.2
A3,A,rtk,1592,129,1721,-2.3
A3,A,caveman,1633,118,1751,-0.6
A3,A,ponytail,1633,129,1762,0.0
A3,A,stacked,550,118,668,-62.1
B1,B,baseline,132,44,176,0.0
B1,B,serena,132,44,176,0.0
B1,B,graphify,132,44,176,0.0
B1,B,codegraph,132,44,176,0.0
B1,B,rtk,17,44,61,-65.3
B1,B,caveman,132,43,175,-0.6
B1,B,ponytail,132,44,176,0.0
B1,B,stacked,17,43,60,-65.9
B2,B,baseline,233,103,336,0.0
B2,B,serena,233,103,336,0.0
B2,B,graphify,233,103,336,0.0
B2,B,codegraph,233,103,336,0.0
B2,B,rtk,104,103,207,-38.4
B2,B,caveman,233,115,348,3.6
B2,B,ponytail,233,103,336,0.0
B2,B,stacked,104,115,219,-34.8
B3,B,baseline,100,66,166,0.0
B3,B,serena,100,66,166,0.0
B3,B,graphify,100,66,166,0.0
B3,B,codegraph,100,66,166,0.0
B3,B,rtk,99,66,165,-0.6
B3,B,caveman,100,60,160,-3.6
B3,B,ponytail,100,66,166,0.0
B3,B,stacked,99,60,159,-4.2
C1,C,baseline,3250,271,3521,0.0
C1,C,serena,243,271,514,-85.4
C1,C,graphify,993,271,1264,-64.1
C1,C,codegraph,1665,271,1936,-45.0
C1,C,rtk,3175,271,3446,-2.1
C1,C,caveman,3250,257,3507,-0.4
C1,C,ponytail,3250,271,3521,0.0
C1,C,stacked,243,257,500,-85.8
C2,C,baseline,1229,202,1431,0.0
C2,C,serena,296,202,498,-65.2
C2,C,graphify,74,202,276,-80.7
C2,C,codegraph,77,202,279,-80.5
C2,C,rtk,1189,202,1391,-2.8
C2,C,caveman,1229,179,1408,-1.6
C2,C,ponytail,1229,202,1431,0.0
C2,C,stacked,296,179,475,-66.8
D1,D,baseline,1229,684,1913,0.0
D1,D,serena,296,684,980,-48.8
D1,D,graphify,74,684,758,-60.4
D1,D,codegraph,77,684,761,-60.2
D1,D,rtk,1189,684,1873,-2.1
D1,D,caveman,1229,681,1910,-0.2
D1,D,ponytail,1229,400,1629,-14.8
D1,D,stacked,296,400,696,-63.6
